zone_id,image,relative_image_path,row,col,zoom,world_left,world_top,world_right,world_bottom,center_latitude,center_longitude,north,south,west,east
dense,dense_r00_c00.jpg,zones/dense/images/dense_r00_c00.jpg,0,0,19,67900426,46205620,67901450,46206644,48.80111847064343,2.124508023262024,48.8020230146336,48.80021391034008,2.123134732246399,2.125881314277649
dense,dense_r00_c01.jpg,zones/dense/images/dense_r00_c01.jpg,0,1,19,67901450,46205620,67902474,46206644,48.80111847064343,2.127254605293274,48.8020230146336,48.80021391034008,2.125881314277649,2.128627896308899
dense,dense_r00_c02.jpg,zones/dense/images/dense_r00_c02.jpg,0,2,19,67902474,46205620,67903498,46206644,48.80111847064343,2.130001187324524,48.8020230146336,48.80021391034008,2.128627896308899,2.131374478340149
dense,dense_r00_c03.jpg,zones/dense/images/dense_r00_c03.jpg,0,3,19,67903498,46205620,67904522,46206644,48.80111847064343,2.132747769355774,48.8020230146336,48.80021391034008,2.131374478340149,2.134121060371399
dense,dense_r00_c04.jpg,zones/dense/images/dense_r00_c04.jpg,0,4,19,67904522,46205620,67905546,46206644,48.80111847064343,2.135494351387024,48.8020230146336,48.80021391034008,2.134121060371399,2.136867642402649
dense,dense_r01_c00.jpg,zones/dense/images/dense_r01_c00.jpg,1,0,19,67900426,46206644,67901450,46207668,48.79930933372349,2.124508023262024,48.80021391034008,48.79840474079358,2.123134732246399,2.125881314277649
dense,dense_r01_c01.jpg,zones/dense/images/dense_r01_c01.jpg,1,1,19,67901450,46206644,67902474,46207668,48.79930933372349,2.127254605293274,48.80021391034008,48.79840474079358,2.125881314277649,2.128627896308899
dense,dense_r01_c02.jpg,zones/dense/images/dense_r01_c02.jpg,1,2,19,67902474,46206644,67903498,46207668,48.79930933372349,2.130001187324524,48.80021391034008,48.79840474079358,2.128627896308899,2.131374478340149
dense,dense_r01_c03.jpg,zones/dense/images/dense_r01_c03.jpg,1,3,19,67903498,46206644,67904522,46207668,48.79930933372349,2.132747769355774,48.80021391034008,48.79840474079358,2.131374478340149,2.134121060371399
dense,dense_r01_c04.jpg,zones/dense/images/dense_r01_c04.jpg,1,4,19,67904522,46206644,67905546,46207668,48.79930933372349,2.135494351387024,48.80021391034008,48.79840474079358,2.134121060371399,2.136867642402649
dense,dense_r02_c00.jpg,zones/dense/images/dense_r02_c00.jpg,2,0,19,67900426,46207668,67901450,46208692,48.797500131550315,2.124508023262024,48.79840474079358,48.7965955059936,2.123134732246399,2.125881314277649
dense,dense_r02_c01.jpg,zones/dense/images/dense_r02_c01.jpg,2,1,19,67901450,46207668,67902474,46208692,48.797500131550315,2.127254605293274,48.79840474079358,48.7965955059936,2.125881314277649,2.128627896308899
dense,dense_r02_c02.jpg,zones/dense/images/dense_r02_c02.jpg,2,2,19,67902474,46207668,67903498,46208692,48.797500131550315,2.130001187324524,48.79840474079358,48.7965955059936,2.128627896308899,2.131374478340149
dense,dense_r02_c03.jpg,zones/dense/images/dense_r02_c03.jpg,2,3,19,67903498,46207668,67904522,46208692,48.797500131550315,2.132747769355774,48.79840474079358,48.7965955059936,2.131374478340149,2.134121060371399
dense,dense_r02_c04.jpg,zones/dense/images/dense_r02_c04.jpg,2,4,19,67904522,46207668,67905546,46208692,48.797500131550315,2.135494351387024,48.79840474079358,48.7965955059936,2.134121060371399,2.136867642402649
dense,dense_r03_c00.jpg,zones/dense/images/dense_r03_c00.jpg,3,0,19,67900426,46208692,67901450,46209716,48.795690864123365,2.124508023262024,48.7965955059936,48.79478620593955,2.123134732246399,2.125881314277649
dense,dense_r03_c01.jpg,zones/dense/images/dense_r03_c01.jpg,3,1,19,67901450,46208692,67902474,46209716,48.795690864123365,2.127254605293274,48.7965955059936,48.79478620593955,2.125881314277649,2.128627896308899
dense,dense_r03_c02.jpg,zones/dense/images/dense_r03_c02.jpg,3,2,19,67902474,46208692,67903498,46209716,48.795690864123365,2.130001187324524,48.7965955059936,48.79478620593955,2.128627896308899,2.131374478340149
dense,dense_r03_c03.jpg,zones/dense/images/dense_r03_c03.jpg,3,3,19,67903498,46208692,67904522,46209716,48.795690864123365,2.132747769355774,48.7965955059936,48.79478620593955,2.131374478340149,2.134121060371399
dense,dense_r03_c04.jpg,zones/dense/images/dense_r03_c04.jpg,3,4,19,67904522,46208692,67905546,46209716,48.795690864123365,2.135494351387024,48.7965955059936,48.79478620593955,2.134121060371399,2.136867642402649
dense,dense_r04_c00.jpg,zones/dense/images/dense_r04_c00.jpg,4,0,19,67900426,46209716,67901450,46210740,48.7938815314421,2.124508023262024,48.79478620593955,48.79297684063092,2.123134732246399,2.125881314277649
dense,dense_r04_c01.jpg,zones/dense/images/dense_r04_c01.jpg,4,1,19,67901450,46209716,67902474,46210740,48.7938815314421,2.127254605293274,48.79478620593955,48.79297684063092,2.125881314277649,2.128627896308899
dense,dense_r04_c02.jpg,zones/dense/images/dense_r04_c02.jpg,4,2,19,67902474,46209716,67903498,46210740,48.7938815314421,2.130001187324524,48.79478620593955,48.79297684063092,2.128627896308899,2.131374478340149
dense,dense_r04_c03.jpg,zones/dense/images/dense_r04_c03.jpg,4,3,19,67903498,46209716,67904522,46210740,48.7938815314421,2.132747769355774,48.79478620593955,48.79297684063092,2.131374478340149,2.134121060371399
dense,dense_r04_c04.jpg,zones/dense/images/dense_r04_c04.jpg,4,4,19,67904522,46209716,67905546,46210740,48.7938815314421,2.135494351387024,48.79478620593955,48.79297684063092,2.134121060371399,2.136867642402649
intermediaire,intermediaire_r00_c00.jpg,zones/intermediaire/images/intermediaire_r00_c00.jpg,0,0,19,67797173,46385224,67798197,46386248,48.48280729403815,1.8475618958473206,48.48371756461955,48.4818970071204,1.8461886048316956,1.8489351868629456
